sampleID,parent,subclone,well,drugOrNo,resistant,holiday,runNumber,fileNameOnGEO,fileNameLocally
A6_bulk_Drug,A6,bulk,NA,Drug,FALSE,FALSE,1,A6_bulk_Drug.fastq,A6_bulk_Drug.fastq
A6_bulk_NoDrug,A6,bulk,NA,NoDrug,FALSE,FALSE,1,A6_bulk_NoDrug.fastq,A6_bulk_NoDrug.fastq
A6_ColonyC2_Drug,A6,C2,NA,Drug,FALSE,FALSE,1,A6_ColonyC2_Drug.fastq,A6_ColonyC2_Drug.fastq
A6_ColonyC2_NoDrug,A6,C2,NA,NoDrug,FALSE,FALSE,1,A6_ColonyC2_NoDrug.fastq,A6_ColonyC2_NoDrug.fastq
A6_ColonyC3_Drug,A6,C3,NA,Drug,FALSE,FALSE,1,A6_ColonyC3_Drug.fastq,A6_ColonyC3_Drug.fastq
A6_ColonyC3_NoDrug,A6,C3,NA,NoDrug,FALSE,FALSE,1,A6_ColonyC3_NoDrug.fastq,A6_ColonyC3_NoDrug.fastq
A6_ColonyE2_Drug,A6,E2,NA,Drug,FALSE,FALSE,1,A6_ColonyE2_Drug.fastq,A6_ColonyE2_Drug.fastq
A6_ColonyE2_NoDrug,A6,E2,NA,NoDrug,FALSE,FALSE,1,A6_ColonyE2_NoDrug.fastq,A6_ColonyE2_NoDrug.fastq
A6_ColonyE3_Drug,A6,E3,NA,Drug,FALSE,FALSE,1,A6_ColonyE3_Drug.fastq,A6_ColonyE3_Drug.fastq
A6_ColonyE3_NoDrug,A6,E3,NA,NoDrug,FALSE,FALSE,1,A6_ColonyE3_NoDrug.fastq,A6_ColonyE3_NoDrug.fastq
A6_ColonyF2_Drug,A6,F2,NA,Drug,FALSE,FALSE,1,A6_ColonyF2_Drug.fastq,A6_ColonyF2_Drug.fastq
A6_ColonyF2_NoDrug,A6,F2,NA,NoDrug,FALSE,FALSE,1,A6_ColonyF2_NoDrug.fastq,A6_ColonyF2_NoDrug.fastq
A6_ColonyG3_Drug,A6,G3,NA,Drug,FALSE,FALSE,1,A6_ColonyG3_Drug.fastq,A6_ColonyG3_Drug.fastq
A6_ColonyG3_NoDrug,A6,G3,NA,NoDrug,FALSE,FALSE,1,A6_ColonyG3_NoDrug.fastq,A6_ColonyG3_NoDrug.fastq
A6_ColonyH1_Drug,A6,H1,NA,Drug,FALSE,FALSE,1,A6_ColonyH1_Drug.fastq,A6_ColonyH1_Drug.fastq
A6_ColonyH1_NoDrug,A6,H1,NA,NoDrug,FALSE,FALSE,1,A6_ColonyH1_NoDrug.fastq,A6_ColonyH1_NoDrug.fastq
A6_ColonyH3_Drug,A6,H3,NA,Drug,FALSE,FALSE,1,A6_ColonyH3_Drug.fastq,A6_ColonyH3_Drug.fastq
A6_ColonyH3_NoDrug,A6,H3,NA,NoDrug,FALSE,FALSE,1,A6_ColonyH3_NoDrug.fastq,A6_ColonyH3_NoDrug.fastq
C10_bulk_Drug,C10,bulk,NA,Drug,FALSE,FALSE,1,C10_bulk_Drug.fastq,C10_bulk_Drug.fastq
C10_bulk_NoDrug,C10,bulk,NA,NoDrug,FALSE,FALSE,1,C10_bulk_NoDrug.fastq,C10_bulk_NoDrug.fastq
ColonyE3-WellA1,A6,E3,A1,drug,TRUE,FALSE,2,ColonyE3-WellA1.fastq,ColonyE3-WellA1.fastq
ColonyE3-WellA4-48hrholiday,A6,E3,A4,48hrholiday,TRUE,TRUE,2,ColonyE3-WellA4-48hrholiday.fastq,ColonyE3-WellA4-48hrholiday.fastq
ColonyE3-WellA4-7dayholiday,A6,E3,A4,7dayholiday,TRUE,TRUE,2,ColonyE3-WellA4-7dayholiday.fastq,ColonyE3-WellA4-7dayholiday.fastq
ColonyE3-WellA4-drug,A6,E3,A4,drug,TRUE,FALSE,2,ColonyE3-WellA4-drug.fastq,ColonyE3-WellA4-drug.fastq
ColonyE3-WellC3,A6,E3,C3,drug,TRUE,FALSE,2,ColonyE3-WellC3.fastq,ColonyE3-WellC3.fastq
ColonyE3-WellC6,A6,E3,C6,drug,TRUE,FALSE,2,ColonyE3-WellC6.fastq,ColonyE3-WellC6.fastq
ColonyG3-WellB6-48hrholiday,A6,G3,B6,48hrholiday,TRUE,TRUE,2,ColonyG3-WellB6-48hrholiday.fastq,ColonyG3-WellB6-48hrholiday.fastq
ColonyG3-WellB6-7dayholiday,A6,G3,B6,7dayholiday,TRUE,TRUE,2,ColonyG3-WellB6-7dayholiday.fastq,ColonyG3-WellB6-7dayholiday.fastq
ColonyG3-WellB6-drug,A6,G3,B6,drug,TRUE,FALSE,2,ColonyG3-WellB6-drug.fastq,ColonyG3-WellB6-drug.fastq
ColonyG3-WellC6-48hrholiday,A6,G3,C6,48hrholiday,TRUE,TRUE,2,ColonyG3-WellC6-48hrholiday.fastq,ColonyG3-WellC6-48hrholiday.fastq
ColonyG3-WellC6-7dayholiday,A6,G3,C6,7dayholiday,TRUE,TRUE,2,ColonyG3-WellC6-7dayholiday.fastq,ColonyG3-WellC6-7dayholiday.fastq
ColonyG3-WellC6-drug,A6,G3,C6,drug,TRUE,FALSE,2,ColonyG3-WellC6-drug.fastq,ColonyG3-WellC6-drug.fastq
ColonyH1-WellA3-48hrholiday,A6,H1,A3,48hrholiday,TRUE,TRUE,2,ColonyH1-WellA3-48hrholiday.fastq,ColonyH1-WellA3-48hrholiday.fastq
ColonyH1-WellA3-7dayholiday,A6,H1,A3,7dayholiday,TRUE,TRUE,2,ColonyH1-WellA3-7dayholiday.fastq,ColonyH1-WellA3-7dayholiday.fastq
ColonyH1-WellA3-drug,A6,H1,A3,drug,TRUE,FALSE,2,ColonyH1-WellA3-drug.fastq,ColonyH1-WellA3-drug.fastq
ColonyH1-WellC2,A6,H1,C2,drug,TRUE,FALSE,2,ColonyH1-WellC2.fastq,ColonyH1-WellC2.fastq
ColonyH1-WellC5,A6,H1,C5,drug,TRUE,FALSE,2,ColonyH1-WellC5.fastq,ColonyH1-WellC5.fastq
ColonyH1-WellD5-48hrholiday,A6,H1,D5,48hrholiday,TRUE,TRUE,2,ColonyH1-WellD5-48hrholiday.fastq,ColonyH1-WellD5-48hrholiday.fastq
ColonyH1-WellD5-7dayholiday,A6,H1,D5,7dayholiday,TRUE,TRUE,2,ColonyH1-WellD5-7dayholiday.fastq,ColonyH1-WellD5-7dayholiday.fastq
ColonyH1-WellD5-drug,A6,H1,D5,drug,TRUE,FALSE,2,ColonyH1-WellD5-drug.fastq,ColonyH1-WellD5-drug.fastq